Symptom 1,Symptom 2,Symptom 3,Medicine
diarrhea,,,Lomotil
sneezing,skin rash,,Cetirizine
stomach cramps,,,Lomotil
headache,joint pain,cough,"Azithromycin, Paracetamol, Diclofenac"
bacterial infection,,,Azithromycin
nausea,,,Aciloc
skin rash,,,Cetirizine
cough,diarrhea,,"Azithromycin, Lomotil"
pain,,,Diclofenac
stomach cramps,,,Lomotil
fungal infection,,,Cetirizine
stomach acid,,,Aciloc
nausea,joint pain,muscle pain,"Aciloc, Paracetamol, Diclofenac"
cough,heartburn,joint pain,"Azithromycin, Aciloc, Diclofenac"
headache,stomach acid,,"Aciloc, Paracetamol"
nausea,bacterial infection,,"Azithromycin, Aciloc"
muscle pain,inflammation,,"Paracetamol, Diclofenac"
sneezing,,,Cetirizine
fungal infection,respiratory infection,,"Cetirizine, Azithromycin"
diarrhea,sore throat,muscle pain,"Azithromycin, Lomotil, Paracetamol"
runny nose,stomach acid,bacterial infection,"Cetirizine, Aciloc, Azithromycin"
sore throat,diarrhea,,"Azithromycin, Lomotil"
stomach cramps,headache,itchy eyes,"Cetirizine, Lomotil, Paracetamol"
skin rash,nausea,,"Cetirizine, Aciloc"
nausea,,,Aciloc
skin rash,,,Cetirizine
sneezing,respiratory infection,,"Cetirizine, Azithromycin"
headache,muscle pain,,Paracetamol
runny nose,,,Cetirizine
heartburn,respiratory infection,itchy eyes,"Azithromycin, Aciloc, Cetirizine"
skin rash,inflammation,,"Cetirizine, Diclofenac"
fungal infection,,,Cetirizine
inflammation,pain,bacterial infection,"Azithromycin, Diclofenac"
heartburn,nausea,sore throat,"Azithromycin, Aciloc"
skin rash,fever,,"Cetirizine, Paracetamol"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
stomach acid,sneezing,cough,"Cetirizine, Aciloc, Azithromycin"
sneezing,headache,,"Cetirizine, Paracetamol"
stomach cramps,inflammation,nausea,"Aciloc, Lomotil, Diclofenac"
stomach cramps,,,Lomotil
respiratory infection,,,Azithromycin
respiratory infection,headache,,"Azithromycin, Paracetamol"
inflammation,nausea,,"Aciloc, Diclofenac"
runny nose,,,Cetirizine
muscle pain,,,Paracetamol
runny nose,cough,skin rash,"Cetirizine, Azithromycin"
respiratory infection,sore throat,headache,"Azithromycin, Paracetamol"
runny nose,headache,stomach cramps,"Cetirizine, Lomotil, Paracetamol"
nausea,,,Aciloc
bacterial infection,joint pain,,"Azithromycin, Diclofenac"
joint pain,fever,sneezing,"Cetirizine, Paracetamol, Diclofenac"
inflammation,runny nose,,"Cetirizine, Diclofenac"
respiratory infection,cough,,Azithromycin
fever,,,Paracetamol
skin rash,,,Cetirizine
headache,,,Paracetamol
nausea,,,Aciloc
sore throat,fungal infection,,"Cetirizine, Azithromycin"
diarrhea,,,Lomotil
stomach cramps,stomach acid,nausea,"Aciloc, Lomotil"
headache,fungal infection,fever,"Cetirizine, Paracetamol"
sneezing,,,Cetirizine
diarrhea,joint pain,headache,"Paracetamol, Lomotil, Diclofenac"
cough,,,Azithromycin
nausea,fever,itchy eyes,"Cetirizine, Aciloc, Paracetamol"
headache,inflammation,fungal infection,"Cetirizine, Paracetamol, Diclofenac"
fever,diarrhea,,"Lomotil, Paracetamol"
runny nose,,,Cetirizine
pain,respiratory infection,,"Azithromycin, Diclofenac"
inflammation,heartburn,joint pain,"Aciloc, Diclofenac"
pain,,,Diclofenac
nausea,muscle pain,headache,"Aciloc, Paracetamol"
runny nose,joint pain,,"Cetirizine, Diclofenac"
diarrhea,heartburn,pain,"Aciloc, Lomotil, Diclofenac"
fever,stomach cramps,pain,"Lomotil, Paracetamol, Diclofenac"
joint pain,muscle pain,stomach cramps,"Lomotil, Paracetamol, Diclofenac"
sore throat,,,Azithromycin
joint pain,respiratory infection,,"Azithromycin, Diclofenac"
itchy eyes,,,Cetirizine
fever,respiratory infection,heartburn,"Azithromycin, Paracetamol, Aciloc"
skin rash,pain,,"Cetirizine, Diclofenac"
heartburn,,,Aciloc
diarrhea,,,Lomotil
stomach acid,,,Aciloc
stomach acid,,,Aciloc
sneezing,respiratory infection,,"Cetirizine, Azithromycin"
fever,,,Paracetamol
stomach acid,inflammation,stomach cramps,"Aciloc, Lomotil, Diclofenac"
fever,,,Paracetamol
inflammation,,,Diclofenac
skin rash,pain,sore throat,"Cetirizine, Azithromycin, Diclofenac"
stomach acid,nausea,muscle pain,"Aciloc, Paracetamol"
headache,pain,stomach acid,"Aciloc, Paracetamol, Diclofenac"
joint pain,,,Diclofenac
sore throat,,,Azithromycin
joint pain,fever,,"Paracetamol, Diclofenac"
joint pain,,,Diclofenac
nausea,,,Aciloc
bacterial infection,,,Azithromycin
nausea,runny nose,inflammation,"Cetirizine, Aciloc, Diclofenac"
itchy eyes,fever,,"Cetirizine, Paracetamol"
sneezing,,,Cetirizine
skin rash,stomach acid,,"Cetirizine, Aciloc"
pain,sore throat,joint pain,"Azithromycin, Diclofenac"
runny nose,nausea,,"Cetirizine, Aciloc"
inflammation,itchy eyes,headache,"Cetirizine, Paracetamol, Diclofenac"
stomach acid,bacterial infection,,"Azithromycin, Aciloc"
headache,cough,,"Azithromycin, Paracetamol"
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
diarrhea,respiratory infection,itchy eyes,"Cetirizine, Azithromycin, Lomotil"
heartburn,nausea,,Aciloc
fungal infection,diarrhea,skin rash,"Cetirizine, Lomotil"
nausea,,,Aciloc
heartburn,pain,,"Aciloc, Diclofenac"
stomach acid,,,Aciloc
sneezing,,,Cetirizine
sneezing,fungal infection,,Cetirizine
nausea,,,Aciloc
cough,,,Azithromycin
runny nose,,,Cetirizine
pain,diarrhea,,"Lomotil, Diclofenac"
diarrhea,,,Lomotil
cough,,,Azithromycin
bacterial infection,,,Azithromycin
fungal infection,itchy eyes,skin rash,Cetirizine
bacterial infection,cough,muscle pain,"Azithromycin, Paracetamol"
joint pain,diarrhea,,"Lomotil, Diclofenac"
pain,respiratory infection,,"Azithromycin, Diclofenac"
fever,nausea,,"Aciloc, Paracetamol"
headache,skin rash,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
cough,itchy eyes,pain,"Cetirizine, Azithromycin, Diclofenac"
runny nose,heartburn,,"Cetirizine, Aciloc"
pain,,,Diclofenac
muscle pain,fungal infection,,"Cetirizine, Paracetamol"
respiratory infection,fever,,"Azithromycin, Paracetamol"
muscle pain,respiratory infection,fungal infection,"Cetirizine, Azithromycin, Paracetamol"
fever,,,Paracetamol
fever,skin rash,,"Cetirizine, Paracetamol"
bacterial infection,pain,,"Azithromycin, Diclofenac"
cough,respiratory infection,bacterial infection,Azithromycin
nausea,stomach acid,headache,"Aciloc, Paracetamol"
sore throat,,,Azithromycin
sneezing,sore throat,,"Cetirizine, Azithromycin"
fungal infection,,,Cetirizine
fungal infection,joint pain,stomach cramps,"Cetirizine, Lomotil, Diclofenac"
nausea,stomach acid,,Aciloc
skin rash,cough,sneezing,"Cetirizine, Azithromycin"
muscle pain,stomach cramps,runny nose,"Cetirizine, Lomotil, Paracetamol"
itchy eyes,headache,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
skin rash,itchy eyes,fever,"Cetirizine, Paracetamol"
pain,,,Diclofenac
muscle pain,,,Paracetamol
pain,joint pain,,Diclofenac
stomach acid,headache,stomach cramps,"Aciloc, Lomotil, Paracetamol"
fever,diarrhea,inflammation,"Lomotil, Paracetamol, Diclofenac"
fungal infection,stomach acid,,"Cetirizine, Aciloc"
respiratory infection,fever,bacterial infection,"Azithromycin, Paracetamol"
inflammation,nausea,bacterial infection,"Azithromycin, Aciloc, Diclofenac"
sneezing,respiratory infection,diarrhea,"Cetirizine, Azithromycin, Lomotil"
nausea,cough,,"Azithromycin, Aciloc"
fungal infection,diarrhea,,"Cetirizine, Lomotil"
diarrhea,muscle pain,heartburn,"Aciloc, Lomotil, Paracetamol"
muscle pain,heartburn,bacterial infection,"Azithromycin, Aciloc, Paracetamol"
headache,,,Paracetamol
bacterial infection,,,Azithromycin
runny nose,bacterial infection,,"Cetirizine, Azithromycin"
pain,diarrhea,,"Lomotil, Diclofenac"
runny nose,stomach acid,sneezing,"Cetirizine, Aciloc"
heartburn,,,Aciloc
runny nose,,,Cetirizine
inflammation,joint pain,,Diclofenac
respiratory infection,fever,cough,"Azithromycin, Paracetamol"
pain,,,Diclofenac
runny nose,stomach cramps,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
bacterial infection,fungal infection,,"Cetirizine, Azithromycin"
stomach cramps,,,Lomotil
fever,respiratory infection,,"Azithromycin, Paracetamol"
fever,heartburn,,"Aciloc, Paracetamol"
diarrhea,,,Lomotil
sneezing,cough,,"Cetirizine, Azithromycin"
sore throat,stomach cramps,stomach acid,"Azithromycin, Lomotil, Aciloc"
joint pain,sneezing,,"Cetirizine, Diclofenac"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
respiratory infection,nausea,runny nose,"Cetirizine, Azithromycin, Aciloc"
fever,fungal infection,bacterial infection,"Cetirizine, Azithromycin, Paracetamol"
fever,,,Paracetamol
runny nose,sore throat,,"Cetirizine, Azithromycin"
fever,fungal infection,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
cough,respiratory infection,,Azithromycin
inflammation,,,Diclofenac
respiratory infection,fungal infection,,"Cetirizine, Azithromycin"
muscle pain,,,Paracetamol
inflammation,diarrhea,,"Lomotil, Diclofenac"
pain,,,Diclofenac
bacterial infection,heartburn,,"Azithromycin, Aciloc"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
stomach acid,headache,heartburn,"Aciloc, Paracetamol"
bacterial infection,inflammation,,"Azithromycin, Diclofenac"
skin rash,joint pain,stomach cramps,"Cetirizine, Lomotil, Diclofenac"
stomach acid,,,Aciloc
cough,stomach cramps,,"Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
cough,diarrhea,,"Azithromycin, Lomotil"
fungal infection,headache,,"Cetirizine, Paracetamol"
runny nose,headache,joint pain,"Cetirizine, Paracetamol, Diclofenac"
muscle pain,sneezing,,"Cetirizine, Paracetamol"
sore throat,,,Azithromycin
cough,respiratory infection,heartburn,"Azithromycin, Aciloc"
sneezing,,,Cetirizine
fungal infection,respiratory infection,bacterial infection,"Cetirizine, Azithromycin"
headache,inflammation,diarrhea,"Lomotil, Paracetamol, Diclofenac"
stomach acid,skin rash,joint pain,"Cetirizine, Aciloc, Diclofenac"
runny nose,fever,,"Cetirizine, Paracetamol"
inflammation,,,Diclofenac
joint pain,,,Diclofenac
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
pain,diarrhea,,"Lomotil, Diclofenac"
respiratory infection,,,Azithromycin
respiratory infection,,,Azithromycin
diarrhea,stomach cramps,fungal infection,"Cetirizine, Lomotil"
fungal infection,,,Cetirizine
cough,muscle pain,,"Azithromycin, Paracetamol"
heartburn,inflammation,diarrhea,"Aciloc, Lomotil, Diclofenac"
runny nose,,,Cetirizine
headache,runny nose,skin rash,"Cetirizine, Paracetamol"
respiratory infection,,,Azithromycin
runny nose,heartburn,,"Cetirizine, Aciloc"
itchy eyes,,,Cetirizine
inflammation,fever,,"Paracetamol, Diclofenac"
diarrhea,,,Lomotil
itchy eyes,muscle pain,,"Cetirizine, Paracetamol"
nausea,joint pain,,"Aciloc, Diclofenac"
itchy eyes,,,Cetirizine
skin rash,stomach acid,,"Cetirizine, Aciloc"
headache,cough,,"Azithromycin, Paracetamol"
stomach cramps,,,Lomotil
pain,sore throat,stomach cramps,"Azithromycin, Lomotil, Diclofenac"
fever,diarrhea,,"Lomotil, Paracetamol"
headache,,,Paracetamol
inflammation,,,Diclofenac
pain,cough,,"Azithromycin, Diclofenac"
runny nose,,,Cetirizine
muscle pain,stomach cramps,bacterial infection,"Azithromycin, Lomotil, Paracetamol"
headache,diarrhea,,"Lomotil, Paracetamol"
runny nose,,,Cetirizine
cough,headache,stomach cramps,"Azithromycin, Lomotil, Paracetamol"
skin rash,,,Cetirizine
fungal infection,stomach acid,stomach cramps,"Cetirizine, Aciloc, Lomotil"
stomach cramps,,,Lomotil
skin rash,respiratory infection,runny nose,"Cetirizine, Azithromycin"
joint pain,inflammation,,Diclofenac
stomach cramps,fungal infection,muscle pain,"Cetirizine, Lomotil, Paracetamol"
cough,stomach acid,,"Azithromycin, Aciloc"
stomach cramps,,,Lomotil
cough,bacterial infection,nausea,"Azithromycin, Aciloc"
joint pain,runny nose,stomach cramps,"Cetirizine, Lomotil, Diclofenac"
nausea,cough,diarrhea,"Azithromycin, Aciloc, Lomotil"
nausea,fungal infection,,"Cetirizine, Aciloc"
stomach cramps,,,Lomotil
inflammation,,,Diclofenac
heartburn,inflammation,nausea,"Aciloc, Diclofenac"
bacterial infection,headache,stomach acid,"Azithromycin, Paracetamol, Aciloc"
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
pain,cough,runny nose,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,,,Cetirizine
stomach cramps,,,Lomotil
itchy eyes,cough,runny nose,"Cetirizine, Azithromycin"
fever,heartburn,,"Aciloc, Paracetamol"
pain,fever,heartburn,"Aciloc, Paracetamol, Diclofenac"
fungal infection,,,Cetirizine
sore throat,headache,skin rash,"Cetirizine, Azithromycin, Paracetamol"
stomach acid,,,Aciloc
runny nose,respiratory infection,,"Cetirizine, Azithromycin"
stomach acid,joint pain,diarrhea,"Aciloc, Lomotil, Diclofenac"
sneezing,sore throat,bacterial infection,"Cetirizine, Azithromycin"
fungal infection,headache,,"Cetirizine, Paracetamol"
fungal infection,stomach cramps,inflammation,"Cetirizine, Lomotil, Diclofenac"
headache,,,Paracetamol
joint pain,pain,stomach cramps,"Lomotil, Diclofenac"
runny nose,,,Cetirizine
diarrhea,sore throat,,"Azithromycin, Lomotil"
sneezing,diarrhea,cough,"Cetirizine, Azithromycin, Lomotil"
diarrhea,inflammation,,"Lomotil, Diclofenac"
fever,,,Paracetamol
muscle pain,,,Paracetamol
fever,,,Paracetamol
nausea,,,Aciloc
cough,,,Azithromycin
headache,,,Paracetamol
heartburn,fungal infection,,"Cetirizine, Aciloc"
muscle pain,sore throat,,"Azithromycin, Paracetamol"
bacterial infection,stomach acid,fungal infection,"Cetirizine, Azithromycin, Aciloc"
heartburn,stomach cramps,fever,"Aciloc, Lomotil, Paracetamol"
respiratory infection,,,Azithromycin
diarrhea,skin rash,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
bacterial infection,runny nose,diarrhea,"Cetirizine, Azithromycin, Lomotil"
bacterial infection,itchy eyes,sore throat,"Cetirizine, Azithromycin"
heartburn,runny nose,,"Cetirizine, Aciloc"
sneezing,stomach acid,,"Cetirizine, Aciloc"
stomach cramps,sneezing,cough,"Cetirizine, Azithromycin, Lomotil"
itchy eyes,runny nose,respiratory infection,"Cetirizine, Azithromycin"
respiratory infection,inflammation,diarrhea,"Azithromycin, Lomotil, Diclofenac"
inflammation,muscle pain,sore throat,"Azithromycin, Paracetamol, Diclofenac"
inflammation,,,Diclofenac
sore throat,fungal infection,,"Cetirizine, Azithromycin"
respiratory infection,,,Azithromycin
diarrhea,itchy eyes,,"Cetirizine, Lomotil"
stomach cramps,runny nose,,"Cetirizine, Lomotil"
fungal infection,,,Cetirizine
heartburn,,,Aciloc
sneezing,bacterial infection,fungal infection,"Cetirizine, Azithromycin"
muscle pain,,,Paracetamol
fungal infection,sneezing,muscle pain,"Cetirizine, Paracetamol"
cough,headache,,"Azithromycin, Paracetamol"
muscle pain,,,Paracetamol
headache,stomach acid,,"Aciloc, Paracetamol"
sore throat,,,Azithromycin
itchy eyes,stomach cramps,fungal infection,"Cetirizine, Lomotil"
bacterial infection,headache,pain,"Azithromycin, Paracetamol, Diclofenac"
cough,stomach cramps,,"Azithromycin, Lomotil"
headache,,,Paracetamol
inflammation,sore throat,,"Azithromycin, Diclofenac"
joint pain,diarrhea,skin rash,"Cetirizine, Lomotil, Diclofenac"
stomach acid,,,Aciloc
muscle pain,cough,,"Azithromycin, Paracetamol"
itchy eyes,runny nose,diarrhea,"Cetirizine, Lomotil"
skin rash,,,Cetirizine
sneezing,sore throat,joint pain,"Cetirizine, Azithromycin, Diclofenac"
fever,,,Paracetamol
inflammation,sore throat,skin rash,"Cetirizine, Azithromycin, Diclofenac"
sore throat,respiratory infection,runny nose,"Cetirizine, Azithromycin"
itchy eyes,,,Cetirizine
cough,runny nose,,"Cetirizine, Azithromycin"
pain,,,Diclofenac
pain,itchy eyes,,"Cetirizine, Diclofenac"
sore throat,,,Azithromycin
stomach cramps,diarrhea,skin rash,"Cetirizine, Lomotil"
bacterial infection,,,Azithromycin
stomach acid,stomach cramps,itchy eyes,"Cetirizine, Aciloc, Lomotil"
diarrhea,skin rash,,"Cetirizine, Lomotil"
fungal infection,fever,itchy eyes,"Cetirizine, Paracetamol"
cough,heartburn,,"Azithromycin, Aciloc"
stomach cramps,,,Lomotil
skin rash,inflammation,,"Cetirizine, Diclofenac"
respiratory infection,headache,sneezing,"Cetirizine, Azithromycin, Paracetamol"
inflammation,diarrhea,,"Lomotil, Diclofenac"
nausea,stomach acid,diarrhea,"Aciloc, Lomotil"
headache,cough,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
diarrhea,sore throat,,"Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
fungal infection,nausea,respiratory infection,"Cetirizine, Aciloc, Azithromycin"
stomach cramps,headache,sore throat,"Azithromycin, Lomotil, Paracetamol"
nausea,respiratory infection,pain,"Azithromycin, Aciloc, Diclofenac"
sore throat,muscle pain,,"Azithromycin, Paracetamol"
fever,sore throat,nausea,"Azithromycin, Paracetamol, Aciloc"
diarrhea,sore throat,bacterial infection,"Azithromycin, Lomotil"
itchy eyes,,,Cetirizine
nausea,muscle pain,fungal infection,"Cetirizine, Aciloc, Paracetamol"
nausea,,,Aciloc
stomach acid,fever,headache,"Aciloc, Paracetamol"
respiratory infection,stomach cramps,,"Azithromycin, Lomotil"
cough,,,Azithromycin
diarrhea,,,Lomotil
heartburn,fever,,"Aciloc, Paracetamol"
itchy eyes,respiratory infection,sore throat,"Cetirizine, Azithromycin"
heartburn,,,Aciloc
nausea,,,Aciloc
pain,,,Diclofenac
sneezing,,,Cetirizine
stomach acid,skin rash,fever,"Cetirizine, Aciloc, Paracetamol"
stomach acid,nausea,heartburn,Aciloc
respiratory infection,muscle pain,,"Azithromycin, Paracetamol"
sore throat,itchy eyes,runny nose,"Cetirizine, Azithromycin"
pain,inflammation,stomach cramps,"Lomotil, Diclofenac"
pain,stomach acid,,"Aciloc, Diclofenac"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
stomach acid,skin rash,cough,"Cetirizine, Aciloc, Azithromycin"
pain,sore throat,,"Azithromycin, Diclofenac"
sore throat,,,Azithromycin
diarrhea,skin rash,,"Cetirizine, Lomotil"
heartburn,,,Aciloc
joint pain,fungal infection,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
runny nose,,,Cetirizine
sore throat,heartburn,,"Azithromycin, Aciloc"
cough,joint pain,,"Azithromycin, Diclofenac"
fungal infection,heartburn,sneezing,"Cetirizine, Aciloc"
cough,,,Azithromycin
pain,runny nose,heartburn,"Cetirizine, Aciloc, Diclofenac"
bacterial infection,,,Azithromycin
stomach acid,skin rash,,"Cetirizine, Aciloc"
pain,diarrhea,,"Lomotil, Diclofenac"
sneezing,itchy eyes,cough,"Cetirizine, Azithromycin"
stomach acid,,,Aciloc
fungal infection,,,Cetirizine
skin rash,muscle pain,,"Cetirizine, Paracetamol"
stomach acid,runny nose,,"Cetirizine, Aciloc"
sneezing,cough,,"Cetirizine, Azithromycin"
fever,headache,,Paracetamol
fever,cough,,"Azithromycin, Paracetamol"
cough,nausea,heartburn,"Azithromycin, Aciloc"
headache,skin rash,inflammation,"Cetirizine, Paracetamol, Diclofenac"
pain,sore throat,,"Azithromycin, Diclofenac"
stomach cramps,fever,,"Lomotil, Paracetamol"
fever,skin rash,,"Cetirizine, Paracetamol"
runny nose,,,Cetirizine
skin rash,,,Cetirizine
sore throat,bacterial infection,,Azithromycin
respiratory infection,,,Azithromycin
cough,fungal infection,,"Cetirizine, Azithromycin"
bacterial infection,pain,stomach cramps,"Azithromycin, Lomotil, Diclofenac"
nausea,,,Aciloc
runny nose,fever,headache,"Cetirizine, Paracetamol"
skin rash,pain,sore throat,"Cetirizine, Azithromycin, Diclofenac"
stomach cramps,cough,,"Azithromycin, Lomotil"
pain,fever,,"Paracetamol, Diclofenac"
stomach acid,itchy eyes,sneezing,"Cetirizine, Aciloc"
cough,,,Azithromycin
muscle pain,diarrhea,sneezing,"Cetirizine, Lomotil, Paracetamol"
inflammation,nausea,,"Aciloc, Diclofenac"
headache,bacterial infection,sneezing,"Cetirizine, Azithromycin, Paracetamol"
cough,,,Azithromycin
stomach cramps,,,Lomotil
muscle pain,heartburn,fever,"Aciloc, Paracetamol"
pain,cough,,"Azithromycin, Diclofenac"
runny nose,muscle pain,,"Cetirizine, Paracetamol"
itchy eyes,stomach cramps,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
respiratory infection,,,Azithromycin
runny nose,skin rash,,Cetirizine
fungal infection,sneezing,bacterial infection,"Cetirizine, Azithromycin"
joint pain,diarrhea,,"Lomotil, Diclofenac"
respiratory infection,,,Azithromycin
stomach cramps,,,Lomotil
stomach cramps,fungal infection,diarrhea,"Cetirizine, Lomotil"
fungal infection,fever,cough,"Cetirizine, Azithromycin, Paracetamol"
pain,bacterial infection,,"Azithromycin, Diclofenac"
fever,inflammation,skin rash,"Cetirizine, Paracetamol, Diclofenac"
inflammation,,,Diclofenac
diarrhea,stomach acid,,"Aciloc, Lomotil"
respiratory infection,heartburn,headache,"Azithromycin, Aciloc, Paracetamol"
diarrhea,stomach acid,,"Aciloc, Lomotil"
runny nose,joint pain,,"Cetirizine, Diclofenac"
headache,sore throat,,"Azithromycin, Paracetamol"
joint pain,,,Diclofenac
fever,,,Paracetamol
cough,,,Azithromycin
sore throat,skin rash,diarrhea,"Cetirizine, Azithromycin, Lomotil"
pain,inflammation,fever,"Paracetamol, Diclofenac"
bacterial infection,,,Azithromycin
diarrhea,,,Lomotil
bacterial infection,,,Azithromycin
diarrhea,,,Lomotil
sneezing,,,Cetirizine
nausea,,,Aciloc
inflammation,runny nose,itchy eyes,"Cetirizine, Diclofenac"
muscle pain,,,Paracetamol
itchy eyes,runny nose,,Cetirizine
runny nose,inflammation,,"Cetirizine, Diclofenac"
respiratory infection,skin rash,,"Cetirizine, Azithromycin"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
inflammation,bacterial infection,diarrhea,"Azithromycin, Lomotil, Diclofenac"
nausea,,,Aciloc
muscle pain,,,Paracetamol
bacterial infection,,,Azithromycin
respiratory infection,joint pain,,"Azithromycin, Diclofenac"
skin rash,bacterial infection,stomach acid,"Cetirizine, Azithromycin, Aciloc"
pain,,,Diclofenac
diarrhea,pain,fungal infection,"Cetirizine, Lomotil, Diclofenac"
respiratory infection,itchy eyes,bacterial infection,"Cetirizine, Azithromycin"
headache,muscle pain,,Paracetamol
muscle pain,inflammation,,"Paracetamol, Diclofenac"
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
inflammation,diarrhea,fever,"Paracetamol, Lomotil, Diclofenac"
fungal infection,stomach acid,,"Cetirizine, Aciloc"
fungal infection,muscle pain,,"Cetirizine, Paracetamol"
cough,,,Azithromycin
stomach acid,,,Aciloc
joint pain,respiratory infection,sore throat,"Azithromycin, Diclofenac"
nausea,,,Aciloc
stomach acid,fungal infection,,"Cetirizine, Aciloc"
respiratory infection,,,Azithromycin
bacterial infection,,,Azithromycin
runny nose,diarrhea,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
muscle pain,nausea,pain,"Aciloc, Paracetamol, Diclofenac"
sore throat,sneezing,,"Cetirizine, Azithromycin"
diarrhea,joint pain,sneezing,"Cetirizine, Lomotil, Diclofenac"
itchy eyes,fever,,"Cetirizine, Paracetamol"
joint pain,,,Diclofenac
inflammation,cough,,"Azithromycin, Diclofenac"
fungal infection,runny nose,cough,"Cetirizine, Azithromycin"
sneezing,sore throat,headache,"Cetirizine, Azithromycin, Paracetamol"
bacterial infection,headache,nausea,"Azithromycin, Paracetamol, Aciloc"
joint pain,,,Diclofenac
sore throat,,,Azithromycin
fever,,,Paracetamol
respiratory infection,runny nose,headache,"Cetirizine, Azithromycin, Paracetamol"
sore throat,fungal infection,,"Cetirizine, Azithromycin"
stomach cramps,heartburn,diarrhea,"Aciloc, Lomotil"
nausea,,,Aciloc
runny nose,fever,bacterial infection,"Cetirizine, Azithromycin, Paracetamol"
sore throat,runny nose,inflammation,"Cetirizine, Azithromycin, Diclofenac"
fungal infection,runny nose,sore throat,"Cetirizine, Azithromycin"
muscle pain,fever,,Paracetamol
fever,joint pain,,"Paracetamol, Diclofenac"
sore throat,muscle pain,nausea,"Azithromycin, Paracetamol, Aciloc"
diarrhea,sneezing,headache,"Cetirizine, Lomotil, Paracetamol"
runny nose,,,Cetirizine
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
pain,cough,inflammation,"Azithromycin, Diclofenac"
skin rash,,,Cetirizine
sneezing,,,Cetirizine
cough,respiratory infection,pain,"Azithromycin, Diclofenac"
joint pain,diarrhea,,"Lomotil, Diclofenac"
stomach cramps,skin rash,,"Cetirizine, Lomotil"
cough,bacterial infection,,Azithromycin
respiratory infection,stomach acid,bacterial infection,"Azithromycin, Aciloc"
respiratory infection,fungal infection,pain,"Cetirizine, Azithromycin, Diclofenac"
inflammation,diarrhea,itchy eyes,"Cetirizine, Lomotil, Diclofenac"
sneezing,,,Cetirizine
runny nose,heartburn,sneezing,"Cetirizine, Aciloc"
cough,nausea,stomach cramps,"Azithromycin, Lomotil, Aciloc"
fungal infection,,,Cetirizine
bacterial infection,sneezing,,"Cetirizine, Azithromycin"
diarrhea,stomach acid,bacterial infection,"Azithromycin, Aciloc, Lomotil"
pain,,,Diclofenac
respiratory infection,,,Azithromycin
fungal infection,sneezing,,Cetirizine
headache,,,Paracetamol
runny nose,fever,fungal infection,"Cetirizine, Paracetamol"
pain,cough,nausea,"Azithromycin, Aciloc, Diclofenac"
nausea,cough,stomach cramps,"Azithromycin, Aciloc, Lomotil"
diarrhea,inflammation,stomach acid,"Aciloc, Lomotil, Diclofenac"
sore throat,,,Azithromycin
fever,,,Paracetamol
runny nose,bacterial infection,stomach acid,"Cetirizine, Azithromycin, Aciloc"
diarrhea,fever,,"Lomotil, Paracetamol"
stomach cramps,,,Lomotil
nausea,,,Aciloc
headache,,,Paracetamol
sneezing,runny nose,bacterial infection,"Cetirizine, Azithromycin"
bacterial infection,,,Azithromycin
runny nose,,,Cetirizine
diarrhea,,,Lomotil
heartburn,headache,,"Aciloc, Paracetamol"
pain,nausea,,"Aciloc, Diclofenac"
skin rash,headache,stomach cramps,"Cetirizine, Lomotil, Paracetamol"
headache,heartburn,diarrhea,"Aciloc, Lomotil, Paracetamol"
respiratory infection,bacterial infection,fungal infection,"Cetirizine, Azithromycin"
respiratory infection,nausea,,"Azithromycin, Aciloc"
diarrhea,sneezing,,"Cetirizine, Lomotil"
itchy eyes,nausea,,"Cetirizine, Aciloc"
nausea,joint pain,inflammation,"Aciloc, Diclofenac"
diarrhea,stomach acid,,"Aciloc, Lomotil"
sneezing,pain,fever,"Cetirizine, Paracetamol, Diclofenac"
respiratory infection,,,Azithromycin
nausea,muscle pain,,"Aciloc, Paracetamol"
diarrhea,inflammation,,"Lomotil, Diclofenac"
bacterial infection,fever,joint pain,"Azithromycin, Paracetamol, Diclofenac"
fever,respiratory infection,pain,"Azithromycin, Paracetamol, Diclofenac"
nausea,muscle pain,runny nose,"Cetirizine, Aciloc, Paracetamol"
stomach acid,,,Aciloc
